Id,Province/State,country,Lat,Long,Date,ConfirmedCases,Fatalities,day_from_jan_first,temp,min,max,stp,slp,dewp,rh,ah,wdsp,prcp,fog
1,,Afghanistan,33,65,22-01-2020,0,0,22,42.6,33.6,54.9,999.9,1024.3,27.4,0.545708895,0.186448305,9.4,0,0
2,,Afghanistan,33,65,23-01-2020,0,0,23,42,32.7,55.9,999.9,1020.8,22.8,0.461259457,0.163224758,14.9,99.99,1
3,,Afghanistan,33,65,24-01-2020,0,0,24,40.1,36.9,43.2,999.9,1018.6,34.5,0.801794166,0.325375475,10.4,0.17,1
4,,Afghanistan,33,65,25-01-2020,0,0,25,46,37.9,56.3,999.9,1018,37.8,0.728174942,0.2145624,6.1,0.57,1
5,,Afghanistan,33,65,26-01-2020,0,0,26,42.8,36.1,53.1,999.9,1014.8,33.2,0.685513147,0.231656139,10.8,0,1
6,,Afghanistan,33,65,27-01-2020,0,0,27,43,36.5,50.7,999.9,1015.7,35.6,0.748684704,0.25032472,3.7,0.04,0
7,,Afghanistan,33,65,28-01-2020,0,0,28,41.7,34.7,48.2,999.9,1016.9,34.7,0.759514372,0.273882427,2.4,0,0
8,,Afghanistan,33,65,29-01-2020,0,0,29,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435,-0.035772859,2.4,0,0
9,,Afghanistan,33,65,30-01-2020,0,0,30,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435,-0.035772859,2.4,0,0
10,,Afghanistan,33,65,31-01-2020,0,0,31,5.6,4.8,7.7,774.4,1031,-0.6,0.751688388,-0.021931256,1.9,0,1
11,,Afghanistan,33,65,01-02-2020,0,0,32,5.6,4.8,7.7,774.4,1031,-0.6,0.751688388,-0.021931256,1.9,0,1
12,,Afghanistan,33,65,02-02-2020,0,0,33,20.5,3.9,36,773.4,1020.7,12.6,0.710900739,-0.091563629,4.5,1.73,1
13,,Afghanistan,33,65,03-02-2020,0,0,34,20.5,3.9,36,773.4,1020.7,12.6,0.710900739,-0.091563629,4.5,1.73,1
14,,Afghanistan,33,65,04-02-2020,0,0,35,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.775353796,-0.020155895,3.3,0,1
15,,Afghanistan,33,65,05-02-2020,0,0,36,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.775353796,-0.020155895,3.3,0,1
16,,Afghanistan,33,65,06-02-2020,0,0,37,43.1,29.1,58.1,999.9,1020.9,22,0.427460611,0.142181263,1.7,0,0
17,,Afghanistan,33,65,07-02-2020,0,0,38,44.5,31.6,60.3,999.9,1022.4,18.4,0.347638241,0.108347246,5.7,0,0
18,,Afghanistan,33,65,08-02-2020,0,0,39,47.8,34.5,63.5,999.9,1021.2,17.2,0.291265973,0.08141187,7.7,0,0
19,,Afghanistan,33,65,09-02-2020,0,0,40,36.9,31.1,42.1,773.3,1011,29.4,0.739946463,0.437795446,4.3,0.08,1
20,,Afghanistan,33,65,10-02-2020,0,0,41,36.9,31.1,42.1,773.3,1011,29.4,0.739946463,0.437795446,4.3,0.08,1
21,,Afghanistan,33,65,11-02-2020,0,0,42,39.5,32.7,47.7,771.4,1007.1,31,0.713001566,0.305257579,6.7,0.12,1
22,,Afghanistan,33,65,12-02-2020,0,0,43,39,30,46,772.2,1008.4,29.2,0.675737949,0.30396453,10.1,0.04,1
23,,Afghanistan,33,65,13-02-2020,0,0,44,23.1,13.6,37.8,780.1,1027.9,12.7,0.63984408,-0.118833709,5.6,1.81,1
24,,Afghanistan,33,65,14-02-2020,0,0,45,24.2,11.3,35.1,779.8,1026.8,7.4,0.482739817,-0.107119133,7.2,0,0
25,,Afghanistan,33,65,15-02-2020,0,0,46,26.3,19.6,35.8,780.7,1026.8,16.2,0.652304851,-0.216135256,5.6,0,0
26,,Afghanistan,33,65,16-02-2020,0,0,47,24.2,17.4,33.1,783.2,1031.3,11.9,0.589910874,-0.130900206,4.7,0,0
27,,Afghanistan,33,65,17-02-2020,0,0,48,32.9,28.2,41.4,782.4,1025.2,15.1,0.475172091,1.305094869,5.9,0,0
28,,Afghanistan,33,65,18-02-2020,0,0,49,32.8,24.6,46.2,779.3,1021.2,21.5,0.627644361,1.931573206,6.5,0.04,1
